Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
Miami Heat,Terry Rozier,SKECHERS,SKX Nexus,"{('Puma', 'Clyde All-Pro'), ('Nike', 'Kobe 7'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe X Low'), ('SKECHERS', 'SKX Nexus'), ('SKECHERS', 'SKX Float'), ('Nike', 'Kobe 4 Protro'), ('SKECHERS', 'SKX Resagrip Low'), ('Nike', 'KD 4'), ('Puma', 'Fusion Nitro'), ('Nike', 'Kobe 8'), ('Adidas', 'Dame 3'), ('Puma', 'Court Rider Chaos'), ('Puma', 'Rise Nitro'), ('Nike', 'Kobe 1 Protro'), ('Jordan', 'Air  XXI'), ('Puma', 'Playmaker Pro'), ('Puma', 'Uproar'), ('Nike', 'Kyrie 4'), ('Puma', 'TRC Blaze'), ('Puma', 'Clyde Hardwood'), ('Nike', 'Kobe 5'), ('Nike', 'KD 3'), ('Puma', 'Stewie 1'), ('Puma', 'Clyde Court Disrupt'), ('Nike', 'Kobe XI Low'), ('Nike', 'LeBron 9'), ('Nike', 'Kyrie 7'), ('Nike', 'Kobe 9 Low'), ('Puma', 'MB1'), ('Adidas', 'Crazy Explosive Low'), ('Nike', 'Kyrie 1'), ('Puma', 'MB.01 Low')}"
Miami Heat,Kel'el Ware,Nike,Sabrina 2,"{('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Sabrina 2 By You'), ('Nike', 'Sabrina 2 United'), ('Nike', 'Sabrina 2')}"
Miami Heat,Josh Christopher,Jordan,Zion 3 Pink Lotus,"{('Jordan', 'Air  37 Low'), ('Jordan', 'Air  36'), ('Jordan', 'Zion 3 Pink Lotus'), ('Jordan', 'Air  36 Low'), ('Jordan', 'Air  XX9'), ('Jordan', 'Air  39'), ('Jordan', 'Luka 1'), ('Jordan', 'Air  XX8'), ('Jordan', 'One Take 4'), ('Jordan', 'Why Not? Zer0.6'), ('Jordan', 'Heir'), ('Jordan', 'Zion 3')}"
Miami Heat,Dru Smith,Nike,Kyrie Low 4,"{('Nike', 'KD 16'), ('Nike', 'KD 15')}"
Miami Heat,Kevin Love,Nike,G.T. Hustle 3,"{('Nike', 'Air Zoom GT Run'), ('Nike', 'Hyperdunk 2016 PE'), ('Nike', 'Hyperdunk X'), ('Nike', 'Zoom Rize'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Air Zoom BB NXT'), ('Nike', 'Hyperdunk 2015'), ('361Â°', 'Kevin Love Combat PE')}"
Miami Heat,Nikola JoviÄ‡,Adidas,AE1 Low Nicks Gift,"{('Adidas', 'BYW Select'), ('Adidas', 'Harden Vol. 3'), ('Adidas', 'D.O.N. Issue 6'), ('Adidas', 'Dame 6'), ('Adidas', 'AE1 Low'), ('Adidas', 'Dame 9')}"
Miami Heat,Davion Mitchell,Under Armour,Curry Fox 1,"{('Under Armour', 'Curry Fox 1'), ('Nike', 'Kobe 7'), ('Nike', 'Kobe 6'), ('Under Armour', 'Curry 11'), ('Nike', 'LeBron XX'), ('Under Armour', 'Curry 1 Low FloTro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 8'), ('Nike', 'Air Zoom GT Cut'), ('Under Armour', 'Curry 6 FloTro The City'), ('Nike', 'Kobe 5'), ('Nike', 'KD 3'), ('Under Armour', 'Curry Flow 10'), ('Under Armour', 'Curry 2 Low FloTro'), ('Under Armour', 'Curry 12'), ('Nike', 'Kobe XI Low'), ('Nike', 'PG 6'), ('Nike', 'Kobe 9 Low'), ('Under Armour', 'Curry 4 Low FloTro'), ('Under Armour', 'Curry 4 FloTro'), ('Under Armour', 'Curry 12 Year of the Snake'), ('Nike', 'Kyrie 1'), ('Nike', 'Kobe 5 Protro')}"
Miami Heat,Bam Adebayo,Jordan,Air  39,"{('Jordan', 'Air  38 Low'), ('Jordan', 'Air  37 Low'), ('Jordan', 'Air  39 Croix'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Jordan', 'One Take II'), ('Jordan', 'Air  36 Low'), ('Jordan', 'Air  39'), ('Nike', 'Kobe 5'), ('Nike', 'G.T. Cut Academy'), ('Nike', 'Zoom Freak 2'), ('Jordan', 'One Take 4'), ('Jordan', 'Air  35 Low'), ('Jordan', 'Why Not? Zer0.6'), ('Jordan', 'Air  7 Retro'), ('Jordan', 'Air  39 Sol'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 5 Protro')}"
Miami Heat,Jaime Jaquez Jr.,Jordan,Air  39,"{('Jordan', 'Air  38 Low'), ('Jordan', 'Luka 2'), ('Jordan', 'Air  39 Croix'), ('Jordan', 'Air  39'), ('Jordan', 'Air  38')}"
Miami Heat,Tyler Herro,Nike,Sabrina 2,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Sabrina 2 SLAM'), ('Nike', 'Kobe 8'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Sabrina 2 By You'), ('Nike', 'KD 3'), ('Nike', 'Sabrina 1'), ('Nike', 'PG 5'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Sabrina 2')}"
Miami Heat,Duncan Robinson,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'PG 6'), ('Nike', 'KD 12'), ('Nike', 'Air Zoom G.T. Hustle 2 All-Star More Uptempo'), ('Nike', 'Precision 6'), ('Nike', 'KD 14'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6'), ('Nike', 'PG 3')}"
Miami Heat,Haywood Highsmith,Nike,Kobe 5 Protro Year of the Mamba,"{('Nike', 'PG 6'), ('Nike', 'Kobe 4 Protro Gift of Mamba'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 X-Ray'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 6 Black Mamba Collection Fade to Black'), ('Nike', 'Kobe 5 Protro')}"
Miami Heat,Kyle Anderson,Nike,Kobe 8 Protro EYBL,"{('Nike', 'Kobe 6 White Del Sol'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Ja 1'), ('Nike', 'Kobe 6 BHM'), ('Nike', 'Kobe AD Exodus'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 6'), ('Adidas', 'D Rose 773 III'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 8 Protro Halo'), ('Nike', 'Kobe X Low'), ('Nike', 'Kobe 5 PJ Tucker')}"
Orlando Magic,Mac McClung,Puma,TRC Blaze,set()
Orlando Magic,Cory Joseph,Nike,Book 1 Rattlesnake,"{('Nike', 'Book 1 The Nightmare Before Christmas'), ('Nike', 'Book 1'), ('Nike', 'PG 4'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'KD 16'), ('Nike', 'Kyrie 2'), ('Nike', 'Kyrie Low 1'), ('Nike', 'PG 2.5'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Lebron Soldier 10'), ('Nike', 'Zoom Soldier VIII')}"
Orlando Magic,Kentavious Caldwell-Pope,361Â°,361 Super Nova 2.0,"{('361Â°', '361 Super Nova 2.0 Pro Water Ripple'), ('361Â°', '361 Big3 Future'), ('Nike', 'Kyrie 3'), ('Nike', 'Zoom Freak 1'), ('Nike', 'PG 1'), ('Nike', 'Kobe 6'), ('361Â°', '361 AG5'), ('361Â°', '361 Big3 5.0 Quick Pro'), ('Nike', 'KD 15'), ('361Â°', '361 Big3 5.0'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'LeBron 16'), ('Nike', 'KD 11'), ('361Â°', '361 Super Nova 2.0'), ('Nike', 'Kobe 8'), ('Nike', 'Lebron 12 ""What if""'), ('Nike', 'Sabrina 1'), ('361Â°', '361 BiospeedBB'), ('Nike', 'Kyrie Low 4'), ('361Â°', '361 Super Nova 1.0 Pro'), ('Jordan', 'Air  10 Steel'), ('Nike', 'Kobe 5'), ('Nike', 'Kyrie Low 5'), ('Nike', 'PG 6'), ('Nike', 'Kyrie 7'), ('Nike', 'Zoom Lebron Soldier 9'), ('Nike', 'Ja 1'), ('361Â°', '361 Big3 4.0 Switch Pro'), ('Nike', 'Air Foamposite One'), ('361Â°', '361 Big3 4.0 Quick Pro'), ('Nike', 'Hyperdunk 2016 Flyknit'), ('Nike', 'Zoom Freak 4'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe X'), ('Nike', 'Kobe 5 Protro')}"
Orlando Magic,Moritz Wagner,Jordan,Air  39,"{('Jordan', 'Air  Retro 11'), ('Jordan', 'Air  36'), ('Jordan', 'Air  34'), ('Jordan', 'React Elevation'), ('Nike', 'LeBron XXI'), ('Jordan', 'Air  33')}"
Orlando Magic,Gary Harris,Nike,Book 1 Forrest Gump Cortez,"{('Nike', 'Kobe AD Exodus'), ('Nike', 'PG 2'), ('Nike', 'PG 1'), ('Nike', 'Book 1 Forrest Gump Cortez'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 9 Elite Low Protro Halo'), ('Nike', 'Kobe X Low'), ('Nike', 'PG 5'), ('Nike', 'Kobe 9'), ('Nike', 'Kobe 6 Mambacita Sweet 16'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 8'), ('Nike', 'Book 1 Haven'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe XI Low'), ('Nike', 'Book 1'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe A.D.'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe X')}"
Orlando Magic,Trevelin Queen,Nike,Kobe 7,"{('Nike', 'PG 6'), ('Nike', 'Kobe 9 Low'), ('Nike', 'KD 4'), ('Adidas', 'Harden Vol. 8'), ('Jordan', 'Air  10'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 9 EM Low Easter'), ('Nike', 'Kobe 5'), ('Nike', 'Zoom Freak 4'), ('Adidas', 'Harden Vol. 7'), ('Nike', 'Kobe 6')}"
Orlando Magic,Jonathan Isaac,Judah,1 Ruach,"{('Judah', '1 Low'), ('Judah', '1'), ('Nike', 'Kyrie 5'), ('Judah', '1 Lion of')}"
Orlando Magic,Jalen Suggs,Adidas,Harden Vol. 9 Cyber Metallic,"{('Adidas', 'Harden Vol. 9'), ('Adidas', 'DON Issue #3'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Dame 8'), ('Adidas', 'Harden Vol. 6'), ('Adidas', 'Dame 9'), ('Nike', 'PG 1'), ('Adidas', 'Harden Vol. 7'), ('Adidas', 'D.O.N. Issue 4')}"
Orlando Magic,Ethan Thompson,,,set()
Orlando Magic,Tristan da Silva,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'Book 1'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Ja 1'), ('Nike', 'JA 2 In the Woods'), ('Nike', 'JA 2 Foundation'), ('Nike', 'Kobe 8 Mambacita'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Adidas', 'Dame 9'), ('Nike', 'Kobe 5 X-Ray'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6')}"
Orlando Magic,Jett Howard,Jordan,Air  39,"{('Jordan', 'Air  38 Low'), ('Jordan', 'Air  12 Retro'), ('Jordan', 'Luka 2'), ('Jordan', 'Tatum 3'), ('Jordan', 'Air  36 Low'), ('Jordan', 'Air  39'), ('Jordan', 'CP3.11'), ('Jordan', 'Tatum 3 6th Man'), ('Jordan', 'Tatum 3 Zen'), ('Jordan', 'Zion 3 NRG Rising'), ('Jordan', 'Zion 3')}"
Orlando Magic,Cole Anthony,Adidas,D.O.N. Issue 6,"{('Adidas', 'Dame Certified 2.0'), ('Adidas', 'adizero Select'), ('Adidas', 'AE1'), ('Adidas', 'D.O.N Issue 6 Triple White'), ('Adidas', 'D.O.N. Issue 6'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Exhibit A Mid'), ('Adidas', 'Exhibit A'), ('Nike', 'KD 13'), ('Jordan', 'Why Not Zer0.1')}"
Orlando Magic,Paolo Banchero,Jordan,Air  39,"{('Jordan', 'Luka 2'), ('Jordan', 'Air  38 Low'), ('Jordan', 'Air  37 Low'), ('Nike', 'Kyrie 7'), ('Jordan', 'Air  36'), ('Jordan', 'Zion 2'), ('Jordan', 'Tatum 3'), ('Jordan', 'Air  39'), ('Jordan', 'Tatum 3 6th Man'), ('Jordan', 'Tatum 2'), ('Jordan', 'Luka 1'), ('Jordan', 'Tatum 1'), ('Jordan', 'Air  37'), ('Jordan', 'Air  38')}"
Orlando Magic,Anthony Black,Nike,Sabrina 2,"{('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Freak 5'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'KD 16'), ('Nike', 'KD 4'), ('Nike', 'KD 5 Elite'), ('Nike', 'Kobe 8 Venice Beach'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'KD 16 By You'), ('Nike', 'LeBron XX'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 9 Elite Low Protro Halo'), ('Nike', 'Sabrina 2')}"
Orlando Magic,Caleb Houstan,Nike,KD 16 B.A.D.,"{('Nike', 'PG 6'), ('Nike', 'KD 16'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'KD 16 Triple Black')}"
Orlando Magic,Wendell Carter Jr.,Nike,Zoom Freak 3,"{('Nike', 'KD 16'), ('Judah', '1 Low'), ('Nike', 'KD 17'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Zoom Freak 2'), ('Nike', 'PG 2.5'), ('Nike', 'Zoom Freak 3 NRG Uno Red'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Hyperdunk 2017'), ('Nike', 'Zoom Freak 3')}"
Orlando Magic,Franz Wagner,Nike,Book 1 Rattlesnake,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Ja 1'), ('Nike', 'KD 16'), ('Nike', 'Book 1 Haven'), ('Nike', 'Book 1 Rattlesnake'), ('Jordan', 'CP3.12'), ('Nike', 'PG 5')}"
Orlando Magic,Goga Bitadze,Nike,Kobe 6 Sail All-Star,"{('Adidas', 'Crazy Explosive 2017'), ('Adidas', 'Marquee Boost'), ('Nike', 'Cosmic Unity'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 5'), ('Adidas', 'DON Issue #2'), ('Nike', 'Kobe 5 Protro Undefeated Hall of Fame'), ('Nike', 'Kobe 6')}"
Washington Wizards,Justin Champagnie,Nike,Kobe 6 Sail All-Star,"{('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Sabrina 1'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low')}"
Washington Wizards,Richaun Holmes,Nike,Kyrie Low 4,"{('Nike', 'LeBron 15'), ('Nike', 'Zoom LeBron Soldier 12'), ('Nike', 'Lebron Soldier 10'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Zoom Freak 2'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kyrie Low 4')}"
Washington Wizards,Kyshawn George,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'Sabrina 1'), ('Nike', 'Sabrina 2')}"
Washington Wizards,Jaylen Martin,Nike,Kobe 6 Grinch,"{('Nike', 'Kobe 6')}"
Washington Wizards,Corey Kispert,Nike,Sabrina 2,"{('Nike', 'PG 6'), ('Nike', 'PG 4'), ('Nike', 'PG 5'), ('Nike', 'Ja 1'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'Sabrina 2 Trust the Game'), ('Nike', 'Sabrina 1'), ('Nike', 'LeBron XXI'), ('Nike', 'Kobe 6'), ('Nike', 'Sabrina 2')}"
Washington Wizards,AJ Johnson,Adidas,adizero Select 3.0,"{('Adidas', 'Dame 9'), ('Adidas', 'Crazy BYW 2.0'), ('Adidas', 'adizero Select 2.0')}"
Washington Wizards,Marcus Smart,Puma,All-Pro Nitro Mexico,"{('Adidas', 'Futurestar Boost'), ('Puma', 'All-Pro Nitro'), ('Puma', 'Playmaker Pro'), ('Puma', 'Fusion Nitro'), ('Puma', 'TRC Blaze'), ('Puma', 'Clyde Hardwood'), ('Puma', 'Court Rider 2.0'), ('Adidas', 'D Lillard 2'), ('Puma', 'Clyde All-Pro')}"
Washington Wizards,Saddiq Bey,Nike,Kobe 6,"{('Nike', 'Kobe 6 Protro'), ('Nike', 'Kobe 6'), ('Nike', 'KD 13'), ('Nike', 'Kobe 5 Protro')}"
Washington Wizards,Jordan Poole,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'Kobe 6 Protro'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low'), ('Nike', 'Kobe 5 Protro')}"
Washington Wizards,Anthony Gill,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'LeBron XX'), ('Nike', 'LeBron XXI'), ('Nike', 'PG 5')}"
Washington Wizards,Alex Sarr,Tarmak,Fast 900 Low-1,"{('Nike', 'Kobe 6')}"
Washington Wizards,Colby Jones,Nike,Air Zoom G.T. Cut 3 Blueprint,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Ja 1'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'Kobe 8'), ('Nike', 'KD 15'), ('Nike', 'Kobe 6'), ('Nike', 'Sabrina 2')}"
Washington Wizards,Khris Middleton,Nike,Air Zoom G.T. Cut 3 Turbo,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Zoom Live 2'), ('Nike', 'Hyperdunk 2016 Low'), ('Nike', 'Zoom HyperRev 2016'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kobe 5'), ('Nike', 'Hyperdunk X Low'), ('Nike', 'Air Force Max Low'), ('Nike', 'PG 1'), ('Nike', 'Zoom HyperRev 2015'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 5 Protro')}"
Washington Wizards,Bilal Coulibaly,Jordan,Tatum 3 Year of the Snake,"{('Jordan', 'Tatum 3 St. Louis'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Jordan', 'Zion 3'), ('Jordan', 'Tatum 3 Welcome to the Garden Alternate'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Kobe 4 Protro'), ('Jordan', 'Zion 3 Pink Lotus'), ('Jordan', 'Tatum 2 Lemonade'), ('Jordan', 'Tatum 3'), ('Nike', 'Kobe 8'), ('Jordan', 'Tatum 3 6th Man'), ('Jordan', 'Tatum 2'), ('Nike', 'KD 3'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom GT Cut'), ('Jordan', 'Tatum 3 Year of the Snake')}"
Washington Wizards,Malcolm Brogdon,Nike,Zoom Freak 1,"{('Nike', 'KD 9')}"
Washington Wizards,Jalen McDaniels,Nike,KD 4 Nerf,"{('Nike', 'LeBron XX'), ('Nike', 'Kobe 1 Protro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'KD 13'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'PG 2.5'), ('Nike', 'KD 3'), ('Nike', 'KD 15'), ('Nike', 'Kobe 6'), ('Nike', 'KD 4 Christmas')}"
Washington Wizards,Tristan Vukcevic,Nike,Kobe 5 Big Stage,"{('Nike', 'Kobe 8'), ('Nike', 'Kobe 8 Venice Beach'), ('Nike', 'Kobe 5'), ('Nike', 'KD 15'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Zoom Freak 3')}"
Washington Wizards,Bub Carrington,Anta,KAI 1,"{('Nike', 'JA 2 Purple Sky'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Anta', 'KAI 1 Speed Young at Heart'), ('Nike', 'Sabrina 2 White Noise'), ('Anta', 'KAI 1'), ('Nike', 'KD 17'), ('Nike', 'JA 2 Nightmare'), ('741 Performance', 'Rover'), ('Nike', 'Kobe 5'), ('Nike', 'JA 2'), ('Anta', 'KAI 1 Yin Triple Black'), ('Nike', 'Sabrina 2')}"
Chicago Bulls,Nikola Vucevic,Nike,Sabrina 2 By You,"{('Nike', 'PG 6'), ('Nike', 'Kyrie 7'), ('Nike', 'KD 14'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Lebron Soldier 10'), ('Nike', 'Zoom Soldier VIII'), ('Nike', 'Sabrina 2')}"
Chicago Bulls,Lonzo Ball,Nike,Kobe 6 All-Star,"{('Nike', 'Kobe 6 Mambacita Sweet 16'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 Black Mamba Collection Fade to Black'), ('Big Baller Brand', 'ZO2.19'), ('Nike', 'Kobe 5 Big Stage'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 5 Protro')}"
Chicago Bulls,E.J. Liddell,Nike,Book 1,"{('Nike', 'KD 16'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe 8'), ('Nike', 'KD 3'), ('Nike', 'LeBron XXI'), ('Nike', 'LeBron Witness 8')}"
Chicago Bulls,Jahmir Young,,,set()
Chicago Bulls,Jalen Smith,Nike,Sabrina 2 White Noise,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Kyrie 6'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Sabrina 2 White Noise'), ('Nike', 'Sabrina 2 Mirrored'), ('Nike', 'Kobe 5'), ('Nike', 'Sabrina 2 Trust the Game'), ('Nike', 'Kobe 6'), ('Nike', 'Sabrina 2')}"
Chicago Bulls,Jevon Carter,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'G.T. Hustle 2'), ('Nike', 'Zoom Freak 2'), ('Nike', 'LeBron XXI'), ('Nike', 'Kyrie 8'), ('Nike', 'Giannis Immortality'), ('Nike', 'Kobe AD Mid'), ('Nike', 'Sabrina 1'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'Kobe A.D. Low 2017'), ('And1', 'Attack Low'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Book 1'), ('Nike', 'Freak 5'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Ja 1'), ('Nike', 'Air Zoom G.T. Cut 3 Electric'), ('Nike', 'Kyrie Low 3'), ('And1', 'Attack 2.0')}"
Chicago Bulls,Josh Giddey,Nike,Kobe 6,"{('Nike', 'Kobe 6 Protro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe A.D. Low 2017'), ('Nike', 'Kobe 4 Protro Wizenard'), ('Anta', 'GH5'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 4'), ('Nike', 'Kobe X Low'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low')}"
Chicago Bulls,Matas Buzelis,Reebok,Engine A,set()
Chicago Bulls,Talen Horton-Tucker,Jordan,Air  39,"{('Jordan', 'Air  38 Low'), ('Jordan', 'Air  37 Low'), ('Jordan', 'Luka 2'), ('Jordan', 'Air  36'), ('Jordan', 'Zoom Separate'), ('Jordan', 'Air  36 Low'), ('Jordan', 'Air  39'), ('Jordan', 'Tatum 2'), ('Jordan', 'One Take 4'), ('Jordan', 'Air  37'), ('Jordan', 'Air  39 Sol'), ('Jordan', 'Air  38'), ('Jordan', 'Zion 3')}"
Chicago Bulls,Coby White,Nike,LeBron XX Miami Heat,"{('Adidas', 'Marquee Boost'), ('Jordan', 'CP3.11'), ('Nike', 'LeBron XX'), ('Adidas', 'Pro Bounce 2019'), ('Jordan', 'CP3.12')}"
Chicago Bulls,Tre Jones,Nike,JA 2 Nightmare,"{('Nike', 'JA 2 Exposure Iron Grey'), ('Nike', 'JA 2 Tree Topper'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'JA 2 In the Woods'), ('Nike', 'JA 2 Induction'), ('Nike', 'JA 2 Foundation'), ('Nike', 'Kyrie Infinity'), ('Nike', 'Kyrie 4'), ('Nike', 'JA 2 Nightmare'), ('Nike', 'Kyrie Low 3'), ('Nike', 'Sabrina 1'), ('Nike', 'JA 2'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6')}"
Chicago Bulls,Julian Phillips,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'Kobe 6 Mambacita Sweet 16'), ('Nike', 'Kobe 4 Protro Gift of Mamba'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 8 Venice Beach'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 9 EM'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low')}"
Chicago Bulls,Ayo Dosunmu,Nike,Air Zoom G.T. Cut 2 BHM,"{('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Air Zoom G.T. Cut 2 BHM'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6'), ('Nike', 'Kyrie Low 4'), ('Nike', 'Air Zoom GT Cut')}"
Chicago Bulls,Dalen Terry,Adidas,Fear of God II,"{('Adidas', 'Harden Vol. 9'), ('Adidas', 'BYW Select'), ('Adidas', 'DON Issue #3'), ('Adidas', 'TMAC 2'), ('Adidas', 'unknow 3'), ('Adidas', 'Dame Certified 2.0'), ('Adidas', 'D Rose 1.5 Low'), ('Adidas', 'Harden Vol. 8'), ('Adidas', 'Dame 4'), ('Adidas', 'Gil Zero'), ('Adidas', 'Harden Vol. 8 Eurocamp'), ('Adidas', 'Top Ten 2000'), ('Adidas', 'T-Mac Millennium'), ('Adidas', 'T-MAC Millennium 2'), ('Adidas', 'Crazy 8'), ('Adidas', 'Harden Vol. 9 Cyber Metallic'), ('Adidas', 'adizero Select 2.0'), ('Adidas', 'Dame 8'), ('Adidas', 'Pro Model 2G'), ('Adidas', 'D Rose 1.5'), ('Adidas', 'Harden Vol. 7'), ('Adidas', 'adizero Select 3.0')}"
