Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
Los Angeles Lakers,LeBron James,Nike,LeBron 22,"{('Nike', 'LeBron 9'), ('Nike', 'Lebron 13 ""25K""'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'Lebron 13 PE'), ('Nike', 'Deion Sanders Max 96 Lebron XXI'), ('Nike', 'Lebron 14'), ('Nike', 'LeBron 2'), ('Nike', 'Zoom Lebron 3'), ('Nike', 'Zoom Lebron Soldier 9 ""Freegums""'), ('Nike', 'Lebron 12 PE'), ('Nike', 'Lebron 14 PE'), ('Nike', 'LeBron 7'), ('Nike', 'Lebron 13'), ('Nike', 'LeBron XX'), ('Nike', 'LeBron XXI'), ('Nike', 'LeBron Soldier 11')}"
Boston Celtics,Al Horford,Nike,G.T. Jump 2,"{('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Jump 2'), ('Nike', 'Zoom Rize 2'), ('Nike', 'Hyperdunk 2015 PE'), ('Nike', 'Zoom Rize'), ('Nike', 'Hyperdunk 2015'), ('Nike', 'Hyperdunk 2014'), ('Nike', 'Hyperdunk 2016'), ('Nike', 'G.T. Jump 2')}"
Brooklyn Nets,De'Anthony Melton,Converse,All Star BB Trilliant CX,"{('Puma', 'Playmaker Pro'), ('Puma', 'Court Rider 2.0'), ('Nike', 'Mamba Fury'), ('Nike', 'Kobe A.D NXT'), ('Converse', 'All Star BB Shift'), ('Converse', 'All Star BB Trilliant CX')}"
Other sneakers worn by  D\'Angelo Russell,D\'Angelo Russell,Li-Ning,Wade All City 13,"{('Li-Ning', 'Wade All City 10 V1'), ('Li-Ning', 'Way Of Wade 1'), ('Li-Ning', 'Way of Wade 11'), ('Nike', 'Zoom Hyperquickness 2015'), ('Li-Ning', 'Wade All City 10'), ('Li-Ning', 'Wade 808 3 V2 Ultra'), ('Li-Ning', 'Wade 808 3 Ultra'), ('Li-Ning', 'Wade Shadow 4'), ('Li-Ning', 'Way Of Wade 10 Low'), ('Li-Ning', 'Way Of Wade 10'), ('Li-Ning', 'Wade All City 12'), ('Li-Ning', 'Wade All City 11'), ('Li-Ning', 'JB2'), ('Li-Ning', 'Wade of Wade 10'), ('Li-Ning', 'Wade All City 13'), ('Nike', 'Air Flight Huarache ""Kobe""'), ('Li-Ning', 'DLO 2'), ('Li-Ning', 'Way Of Wade Flash 2')}"
Brooklyn Nets,Reece Beekman,Nike,Kobe 6 Mambacita Sweet 16,"{('Nike', 'Kobe 4 Protro Gold Medal'), ('Nike', 'Kobe 6 Mambacita Sweet 16'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 5 X-Ray'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6')}"
Brooklyn Nets,Cameron Johnson,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Kobe 5 Chaos'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'KD 17 Travel Ball'), ('Nike', 'KD 16'), ('Nike', 'Kobe 8'), ('Nike', 'KD 15'), ('Nike', 'Kobe 5'), ('Jordan', 'CP3.11'), ('Nike', 'Kobe 4 Protro Girl Dad'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 4 Protro FTB Snake'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6')}"
Brooklyn Nets,Noah Clowney,Nike,Kobe 6 Reverse Grinch,"{('Nike', 'LeBron XX'), ('Nike', 'Kobe 6'), ('Nike', 'LeBron NXXT Gen')}"
Brooklyn Nets,Keon Johnson,Nike,Zoom Freak 4,"{('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Nike', 'G.T. Hustle 3'), ('Nike', 'Kyrie 4'), ('Nike', 'KD 13'), ('Adidas', 'Dame 8'), ('Adidas', 'Dame 7'), ('Adidas', 'Harden Vol. 6'), ('Nike', 'Zoom Freak 4'), ('Nike', 'Kyrie 4 Ankle Taker'), ('Adidas', 'Harden Vol. 7')}"
Brooklyn Nets,Kendall Brown,Nike,LeBron NXXT Gen,"{('Nike', 'Air Zoom GT Cut')}"
Brooklyn Nets,Day'Ron Sharpe,Li-Ning,Wade All City 13,"{('Nike', 'Book 1'), ('Nike', 'Book 1 Halloween'), ('Adidas', 'BYW Select'), ('Nike', 'Book 1 Sunset'), ('Nike', 'KD 17'), ('Adidas', 'Dame 8'), ('Nike', 'KD 16 Boardroom'), ('Adidas', 'Harden Vol. 7')}"
Brooklyn Nets,Trendon Watford,Nike,Sabrina 2 By You,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Freak 5'), ('Nike', 'Kobe 5 Protro Year of the Mamba'), ('Nike', 'Kobe 6 WNBA'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'KD 4'), ('Nike', 'Kobe 9 Low'), ('Nike', 'KD 16'), ('Nike', 'Kyrie 1'), ('Nike', 'PG 5'), ('Nike', 'Kobe 5'), ('Nike', 'LeBron XX'), ('Nike', 'Sabrina 1'), ('Nike', 'LeBron XXI'), ('Nike', 'Kobe 6'), ('Nike', 'Sabrina 2')}"
